Thread Code,R,G,B
D40064,117,115,111
D40065,112,108,107
D40066,174,174,170
D40067,161,164,163
DT484,143,144,144
D40068,84,85,89
D40069,75,75,82
D40070,170,177,179
D40071,156,160,163
D40072,121,129,136
D40073,91,96,102
D40074,75,77,83
D40075,76,74,80
D40076,170,171,170
D40077,168,172,172
D40078,147,152,155
D40079,110,114,121
D40080,84,88,96
D40081,70,70,73
D487,66,65,71
D488,59,57,67
D40082,49,49,58
D40237,165,167,159
D40238,155,159,154
D40239,138,146,145
D40240,133,141,138
D40241,125,131,126
D40242,162,162,158
D40243,158,160,155
D40244,154,158,157
D40245,147,155,155
D40246,173,173,165
D40247,163,163,156
D40248,150,151,146
D40249,137,134,122
D40250,165,164,151
D40251,147,143,129
D40252,110,99,84
D40253,93,86,76
D40254,89,85,78
D40255,188,187,179
D40256,176,178,168
D40257,165,173,165
D40258,158,168,162
D40259,85,92,86
D40260,51,64,55
D206,42,67,62
D80039,210,205,188
D80040,203,197,174
D80041,167,157,142
D70076,144,113,85
D30226,128,169,179
D50124,203,160,77
D60053,87,71,124
D10146,172,114,145
D40265,128,130,125
D40266,108,109,109
D20098,72,89,82
D20099,53,73,59
D20100,54,71,60
D20101,37,73,70
D70077,179,142,105
DT711,188,141,92
D70078,180,136,79
D70079,164,121,61
D70080,126,66,43
D70081,108,62,58
D70082,171,142,123
D70083,121,91,79
D70084,101,76,70
D70085,86,73,72
D70086,80,65,62
D50031,211,192,130
D501,213,192,122
D502,214,172,77
D50032,207,158,70
D50033,217,163,48
D50034,208,149,52
D50035,223,164,44
D50036,214,189,131
D50037,217,163,36
D50038,223,161,46
D50039,221,159,42
D50040,219,157,23
D50041,224,157,9
D50042,208,202,178
D50043,212,187,123
D50044,216,156,26
D50045,213,146,40
D50046,210,139,35
D50047,207,141,60
D5205,212,196,138
D521,214,195,129
D50048,219,157,62
D50049,224,157,50
D50050,219,140,39
D50051,214,135,47
D10108,212,191,193
D123,213,180,193
D124,211,159,182
D127,186,103,143
D10109,186,83,129
D10110,179,58,110
D10111,206,180,186
DT131,205,168,186
D125,197,134,167
D126,176,96,137
D128,170,87,133
D10112,159,58,108
D10113,154,49,103
D1900,213,180,191
D1032,182,127,150
D1035,136,68,97
D1036,132,70,95
DS1035,120,55,82
D131,203,174,194
D132,178,128,162
D133,167,116,155
D136,132,65,106
D10114,129,65,105
D137,123,55,97
D10115,107,54,80
D30105,82,170,185
D30106,64,161,185
D373,-75,140,178
D337,-115,119,163
D30107,-100,103,152
D30108,63,156,185
D30109,-42,137,174
D30110,-45,106,151
D30111,-33,95,140
D30112,128,188,193
D30113,105,182,193
DS369,79,173,190
D371,46,159,182
D30114,-54,136,164
D30115,-112,104,148
D30116,115,182,187
D370,89,171,184
D30117,-44,143,166
D372,-67,140,166
D30118,-128,130,161
D30119,72,163,173
D30120,69,164,176
D294,-45,140,155
D296,-71,114,140
D30121,-120,109,133
D1701,185,150,155
D1702,190,147,155
D1703,184,129,142
D1704,160,88,109
D1705,157,87,106
D10118,114,49,61
D10119,101,42,51
D161,206,184,174
D163,178,145,139
D165,177,122,126
D166,138,85,92
D167,131,67,81
D10120,141,57,61
D1988,137,54,59
D190,132,52,59
D10121,125,42,46
D1600,169,142,142
D1601,141,104,111
D1603,127,83,94
D1602,119,79,89
D196,99,50,63
D10122,88,43,55
D10123,82,44,54
D10124,80,48,54
D10125,74,49,55
D40012,193,186,161
D420,193,184,158
D411,174,168,143
D80007,151,137,120
D80008,138,128,107
D80009,132,116,95
D80010,168,151,125
D80011,150,131,106
D80012,143,124,91
D80013,144,114,75
D80014,141,114,79
D80015,136,113,79
D50115,194,177,142
D50116,176,155,105
D552,183,155,102
D562,186,154,94
D554,153,118,54
D50117,143,110,53
D50118,135,101,39
D50119,183,155,110
D50120,168,130,78
D563,156,117,58
D564,137,101,55
D565,114,85,56
D50121,113,80,54
D40083,189,191,185
D40084,156,162,160
D40085,140,147,149
D40086,128,133,136
D40087,95,93,95
D40088,174,177,173
D40089,158,160,156
D40090,155,158,156
D40091,129,132,132
D40092,87,90,92
D40093,74,76,79
D40094,78,79,78
D40095,98,97,96
D40096,125,128,126
D40097,137,138,134
D40098,171,170,167
D40099,165,166,164
D40100,112,108,108
D40101,105,102,101
D40102,173,173,168
D40103,157,158,156
D40104,128,131,129
D40105,102,102,100
D40106,77,76,78
D40107,73,72,74
D41G86,186,183,173
D41G27,168,168,164
