Thread Code,R,G,B
D713,122,75,56
D70064,140,83,54
D712,163,96,49
D743,173,141,126
D70065,145,98,87
D705,181,143,130
D769,103,59,51
D786,107,58,51
D807,174,152,134
D70066,158,126,108
D744,137,104,92
D745,120,91,84
D70067,99,75,66
D70068,85,59,53
D70069,71,52,49
D40168,181,182,177
D40169,157,161,162
D40170,139,145,147
D40171,130,135,137
D40172,112,113,117
D40173,153,159,158
D468,140,147,148
D469,118,128,133
D40174,112,122,124
D40175,83,93,97
D40176,81,86,91
D40177,51,57,62
D483,158,165,167
D485,133,137,140
D40178,102,105,106
D40179,99,98,99
D40180,72,70,72
D40181,60,60,65
D40182,134,135,134
D40183,112,107,105
D40184,99,96,96
D40185,87,85,86
D40186,81,83,86
D40187,58,56,59
D40188,46,45,50
D41G66,210,225,75
D41M68,185,187,35
D41M80,43,112,73
D41AAE,200,77,59
D41M26,187,61,38
D41AC5,187,57,57
D41G54,178,52,45
D41AC4,179,54,62
D41N70,218,183,99
D41F06,222,173,61
D41B21,223,172,68
D41B13,223,156,8
D41G41,208,110,55
D41F02,218,113,32
D41A37,218,190,74
D41H51,222,181,26
D41AAF,215,166,56
D41M43,212,143,44
D41G31,215,138,43
D41G01,167,85,50
D41N86,101,75,64
D41D01,73,51,49
D41A00,78,62,54
D41H03,66,53,48
D41C36,65,59,59
D10054,211,198,192
D10055,214,178,181
D10056,213,170,176
D10057,213,150,160
D10058,199,127,142
D10059,181,98,123
D1120,165,82,105
D1121,160,75,92
D1122,144,63,77
D10060,142,55,66
D116,216,186,177
D142,208,129,121
D155,202,81,90
D10061,187,60,65
D188,164,48,58
D10062,159,46,55
DS116,215,193,190
D103,215,154,166
D1013,208,107,128
D10063,180,59,67
DS702,172,46,61
D10064,174,67,59
D10065,154,38,52
D10066,152,35,48
D10067,145,38,48
D30033,145,179,194
D352,115,158,183
D30034,95,147,182
D30035,72,132,174
D30036,23,85,137
D30037,26,81,129
D30038,29,71,114
D30039,85,131,171
D30040,56,101,149
D30041,42,73,122
D30042,42,73,122
D30043,43,70,116
D30044,32,60,100
D30045,104,139,170
D30046,84,122,157
D30047,61,82,112
D356,54,74,105
D30048,44,56,87
D30049,164,182,192
D30050,131,159,181
D333,65,99,133
D30051,51,78,115
D30052,41,66,102
D30053,41,62,98
D30054,47,58,87
D551,196,179,129
D50093,273,137,-57
D50094,194,150,73
D50095,196,144,37
D50096,176,130,75
D514,135,91,48
D50097,206,198,146
D50098,206,189,109
DT561,180,158,84
D284,123,107,52
D218,102,95,55
D20038,193,192,128
D20039,164,171,63
D20040,156,156,70
DT210,150,156,84
D20041,112,130,59
D20042,163,161,108
D214,149,139,75
D212,140,131,75
D2012,128,121,75
D2013,124,116,72
D216,99,98,52
D2015,85,90,53
D2014,74,80,50
D2016,71,74,53
D201,138,161,138
D203,93,129,111
D20047,78,112,88
D245,65,93,73
D20048,62,84,65
D20049,57,83,62
DT245,74,104,79
D202,129,153,130
D20050,83,98,83
D20051,65,81,76
D204,61,94,82
D205,50,76,64
D20052,43,68,56
D20053,41,69,54
D20054,32,67,63
D20055,33,75,70
D20056,44,86,73
D257,40,88,74
D255,49,92,77
D276,80,112,68
D20057,61,86,55
D248,51,80,62
D247,42,69,55
D20058,46,67,58
D20059,45,63,57
D40016,201,201,189
D40017,170,174,159
D40018,170,178,163
D40019,154,167,151
D40020,133,146,125
D40021,209,208,195
D40022,187,184,163
D40023,179,170,153
D80026,172,166,149
D80027,172,164,144
D80028,190,184,164
D70070,210,205,191
D70071,197,189,170
D70072,186,172,154
DT765,176,150,134
D70073,150,114,99
D70074,139,106,91
D70075,102,85,71
D40024,139,134,125
D40025,99,84,81
D40026,96,74,76
D40027,70,63,64
D40028,67,61,57
D40029,66,62,61
D40030,51,51,51
D40189,170,175,171
D40190,147,153,154
D40191,114,116,120
D40192,101,100,101
D40193,95,92,93
D40194,162,163,159
D40195,147,151,146
D40196,139,139,136
D40197,128,129,125
D40198,91,89,85
D40199,104,100,99
D40200,122,126,123
D40201,138,139,134
D40202,165,167,161
D40203,160,161,155
D40204,136,138,135
D40205,93,94,93
D40206,58,58,59
D40207,50,50,52
D40208,157,159,153
D40209,140,144,140
D40210,105,109,106
D40211,80,77,76
D40212,58,58,62
D40213,49,51,56
D80035,205,203,192
D800,209,212,230
D80036,209,211,222
D80037,206,207,217
D851,207,210,227
D801,203,208,230
D802,203,207,221
D05F,205,200,188
D80038,206,200,189
D110,210,198,186
D1011,208,182,168
D794,128,85,89
D796,120,77,73
D10127,114,63,66
D10128,103,43,50
D10129,124,41,56
D10130,130,46,55
D192,132,49,64
D10131,135,58,73
D10132,143,48,56
D10133,130,46,47
D10134,128,49,53
D90001,60,63,64
D90002,44,45,46
D90003,47,48,50
D10068,213,191,189
D10069,216,183,189
D1012,213,159,178
D10070,212,152,170
D1044,215,137,162
D1045,206,119,148
D1046,179,88,113
D10071,150,57,74
D10072,138,49,67
D10073,208,151,155
D143,200,112,119
D144,173,86,92
D10074,142,62,65
D10075,134,56,58
D10076,128,53,59
D10077,111,55,60
D10078,191,147,153
D119,190,128,142
D1119,185,113,134
D121,147,61,85
D122,139,57,72
D10079,134,48,64
D10080,137,48,62
D10081,126,46,59
D10082,120,37,49
D30055,-130,102,152
D30056,-100,109,167
D30057,-126,103,160
D30058,-64,95,151
DS055,26,94,149
D30059,24,86,137
D30060,1,89,150
D30061,31,78,131
D30062,35,77,131
D366,30,85,147
D367,29,79,139
D30063,26,75,140
D30064,43,84,142
D30065,47,75,129
D30066,41,72,135
D30067,45,60,98
D30068,46,53,86
D30069,50,56,84
D30070,43,70,95
DT334,38,67,99
D30071,38,60,87
D357,39,53,75
D30072,41,54,76
D30073,43,55,73
D359,47,58,73
D20043,215,190,-57
D20044,194,189,43
D20045,150,152,55
D541,213,208,125
D50099,213,192,82
D50100,218,190,66
D50101,223,184,35
D50102,224,180,22
D50103,198,154,87
D50104,195,138,63
D50105,191,129,48
D50106,146,89,42
D50107,199,175,115
D50108,209,160,78
D50109,200,154,80
D512,178,127,59
D50110,171,114,33
D50111,143,94,56
D50112,196,185,162
D50113,194,178,142
DT001,197,172,119
D553,183,144,92
D50114,172,127,65
D555,145,101,56
D516,130,84,46
D20060,84,116,119
D20061,82,115,118
D20062,68,102,97
D20063,71,103,99
D343,78,104,99
DS244,121,148,113
D254,88,134,98
D20064,38,111,87
D20065,-19,89,84
D20066,36,98,97
D20067,68,127,65
D20068,45,107,54
D20069,44,83,61
D251,167,174,147
D2445,119,130,85
D244,120,129,87
DT274,108,129,79
D274,120,143,106
D20070,116,140,106
D253,95,123,101
D20071,88,112,82
D20072,72,95,70
D20073,53,80,56
D20074,55,75,58
DT247,49,61,46
D40031,184,177,163
D40032,174,168,154
D40033,145,136,125
DT411,136,131,118
D40034,100,89,79
D40035,195,193,183
D80029,168,163,151
D80030,152,144,127
D842,132,117,99
D80031,120,108,94
D80032,123,108,91
D814,135,124,111
D40036,157,149,131
D40037,173,169,153
D40038,156,155,138
D40039,117,116,102
D412,114,117,108
D414,95,93,90
D40040,163,156,135
D423,132,122,105
D424,103,93,81
D40041,86,76,66
D40042,79,71,61
D415,77,72,67
D416,67,62,55
D4467,190,185,180
D40214,174,174,169
D40215,152,153,149
D01K,133,130,127
D40216,139,140,136
D40217,142,146,144
D40218,162,163,157
D40219,164,169,165
D40220,171,177,175
D40221,149,155,154
D40222,136,139,137
D40223,117,119,118
D40224,180,182,172
D40225,160,162,152
D40226,144,146,134
D40227,144,147,137
D40228,167,171,163
D40229,176,177,169
D40230,179,178,170
D40231,169,169,161
D40232,128,127,118
D40233,113,112,106
D40234,87,82,78
D40235,76,74,67
D40236,64,62,58
D10135,191,87,68
D10136,183,78,36
D10137,174,80,56
DT144,166,88,85
D10138,139,57,56
D10139,126,50,47
D10140,126,57,58
D10141,111,53,56
D10142,106,50,57
D10143,82,46,52
D10144,80,52,63
D10145,59,44,57
D30207,49,55,69
D30208,50,60,73
D30209,41,49,63
D30210,48,53,61
D30211,45,46,47
D30212,37,80,112
D30213,33,81,103
D30214,47,70,90
D30215,61,69,82
D30216,63,67,70
D30217,62,66,70
D30218,50,52,60
D30219,44,51,56
